Gender,HoursStudied/Week,Tutoring,Region,Attendance(%),Parent Education,Exam_Score
Female,6.3,No,Urban,91,Primary,52.2
Female,14.4,No,Rural,83.4,Tertiary,77.2
Female,9.2,Yes,Rural,59.6,Primary,84.7
Female,6.5,No,Rural,96.5,Secondary,65.4
Male,7.9,No,Rural,99.7,Secondary,65.3
Female,11.6,No,Urban,77.8,Secondary,74.9
Female,10.6,Yes,Rural,89.1,Tertiary,88
Male,7,No,Rural,97.6,Primary,52
Male,10.9,No,Urban,86.9,Secondary,73.2
Female,14.7,Yes,Urban,80.8,Tertiary,100
Male,10.6,Yes,Rural,61.8,Primary,76.3
Male,4.3,No,Urban,91.5,Secondary,55.4
Female,8.6,Yes,Rural,62.6,Primary,71.1
Female,6.4,No,Rural,76.1,Primary,50.5
Male,0.8,No,Urban,76.7,Tertiary,31.3
Female,10.1,Yes,Rural,78.8,Secondary,76.8
Male,8,No,Urban,89.5,Secondary,73.3
Male,4.2,No,Rural,65.2,Secondary,40.3
Female,16,No,Urban,94.7,Primary,92.5
Male,4.7,No,Rural,89.7,Secondary,48.8
Male,2.5,No,Urban,63.5,None,41.9
Male,9.1,No,Rural,90.8,Secondary,60.7
Female,12.9,No,Urban,61.5,None,69.6
Female,13,No,Urban,88.7,Primary,88.9
Male,15.9,No,Urban,61.3,Primary,90
Female,9.8,Yes,Urban,59.3,Primary,79.1
Male,7.8,Yes,Urban,70.9,Tertiary,73.6
Male,5.2,Yes,Urban,99.1,Primary,64.2
Male,14.4,Yes,Urban,63.7,None,92.2
Male,10.7,No,Rural,68.1,None,62.1
Male,10.4,No,Rural,51.7,Primary,60.4
Female,12.4,No,Urban,78,Secondary,79.1
Male,3.7,No,Rural,86.8,Primary,39.3
Female,0.5,Yes,Urban,50.6,Primary,41.1
Male,10.9,No,Urban,62.1,Primary,70.2
Female,11.7,No,Urban,62.2,Primary,66.2
Female,1.7,No,Urban,58.7,Secondary,27
Female,10.3,Yes,Urban,53.2,Tertiary,77.3
Female,6.5,No,Rural,78.9,Tertiary,51.3
Female,9.1,No,Rural,57.9,Primary,51.8
Male,11.1,No,Rural,82.5,Tertiary,78.7
Female,9.5,No,Urban,72.5,Tertiary,64.9
Female,7.9,No,Rural,99.1,Tertiary,67.8
Female,7.4,No,Rural,95.3,Secondary,53.5
Female,6.4,No,Urban,77.2,Tertiary,61.7
Male,12.8,Yes,Urban,51.9,Secondary,91.6
Female,8.9,No,Urban,94.1,Primary,76.1
Female,16,No,Urban,78.1,Secondary,95.4
Male,16,No,Urban,60.2,Tertiary,87.2
Male,9.5,Yes,Urban,57.8,Tertiary,77.7
Female,11.5,Yes,Rural,77.1,Primary,87.6
Male,15.6,No,Rural,78,Tertiary,87.2
Male,8.9,Yes,Rural,57.6,Tertiary,74.4
Male,7.9,Yes,Rural,72.5,Tertiary,75.6
Male,10.6,No,Rural,63.9,Secondary,59.6
Female,10.3,No,Urban,51.1,Secondary,69.3
Female,14,No,Urban,85.1,Tertiary,87.8
Male,15.8,Yes,Rural,94.1,Tertiary,100
Male,7.8,No,Urban,86.7,Tertiary,69.6
Female,9.8,No,Urban,76.1,Primary,70.4
Male,6.2,No,Rural,69.3,Secondary,45.9
Female,3,No,Rural,83,None,35
Female,12.2,Yes,Rural,56.8,Primary,81.4
Female,15.8,No,Urban,74.5,Primary,92.2
Female,14.9,No,Rural,97,Secondary,98.1
Male,10.1,No,Urban,63.3,Tertiary,72.9
Male,13.2,No,Urban,50.3,Primary,70.2
Male,10.6,No,Urban,59.8,Primary,63.4
Female,4.2,No,Rural,72.4,Tertiary,41.8
Male,13.2,Yes,Urban,75.7,Tertiary,98.5
Female,8.2,Yes,Urban,86.1,Secondary,72.4
Female,3.8,No,Urban,68.9,Primary,50.6
Female,9,No,Urban,72.4,Primary,65.4
Male,13.4,Yes,Urban,80.5,Secondary,100
Female,8.7,Yes,Urban,80.5,Tertiary,83.8
Male,6.2,No,Urban,93.6,Secondary,60.3
Male,8.6,No,Rural,95.2,Secondary,62.4
Female,10.6,No,Urban,88.2,Tertiary,73.9
Male,11.5,No,Urban,63.2,None,63.3
Female,16,No,Urban,55.6,Secondary,96.6
Female,7.3,No,Rural,64.6,Secondary,59.8
Male,16,No,Rural,77.7,Secondary,88.6
Male,11.5,No,Urban,93.1,Primary,64
Female,5.5,No,Rural,60.5,Primary,55.1
Male,9.5,No,Rural,50.4,Secondary,53.9
Female,12.3,Yes,Urban,82.5,Secondary,89.8
Male,16,No,Rural,76.3,Secondary,84.9
Female,10.8,No,Urban,74,Secondary,61.2
Male,16,No,Rural,60.6,Tertiary,90.9
Female,8.7,Yes,Urban,58.9,None,76.1
Male,4,No,Rural,75.3,Secondary,50.9
Female,8.1,No,Urban,50.8,Secondary,61.8
Male,7.8,Yes,Urban,69.9,Secondary,76.4
Male,13.5,No,Urban,65,Primary,72.3
Male,8.2,No,Urban,76.7,Tertiary,63.7
Female,8.6,No,Rural,93,Secondary,69.6
Male,10,Yes,Rural,53.9,None,69.6
Female,10.6,No,Rural,89.9,Secondary,75.3
Male,14,Yes,Urban,71.9,None,90
Female,16,No,Rural,96.3,Tertiary,98.3
Male,14.1,No,Urban,77.1,None,77.7
Male,3.2,No,Urban,83.9,Secondary,45.8
Male,5.1,Yes,Rural,84.7,Tertiary,56.6
Male,9.8,No,Urban,78.9,Secondary,70.3
Male,12.5,No,Urban,87.5,Secondary,84.7
Female,1.6,No,Rural,87.7,Secondary,35.4
Male,10.4,No,Urban,82,Secondary,73.5
Male,16,No,Rural,66.2,Secondary,95.3
Female,10.5,No,Rural,51.6,Secondary,58.4
Male,11.1,No,Rural,86,Secondary,60.9
Male,12.1,No,Rural,78.7,Primary,77.7
Male,7.9,No,Urban,51.8,Tertiary,54.5
Female,9.5,No,Rural,99,Secondary,66.4
Male,2.1,Yes,Urban,62.5,Secondary,51.7
Male,7.4,Yes,Urban,97.4,Tertiary,69.8
Female,10.7,Yes,Urban,93.2,Tertiary,98.4
Male,4.6,No,Rural,69.4,Secondary,41.2
Female,16,No,Urban,84,Secondary,90.8
Male,7.2,No,Urban,76.1,Secondary,55.1
Male,8.2,No,Urban,69.9,None,62.8
Female,8.9,No,Urban,56.9,Secondary,58.5
Female,7.3,No,Urban,55.8,Primary,45.4
Male,7.6,No,Rural,86.8,Secondary,60.9
Male,9.8,No,Urban,54.5,Tertiary,58.9
Male,5.6,No,Urban,79.7,Primary,48.4
Female,12.7,No,Urban,75,Secondary,74.8
Female,8.5,Yes,Urban,61.2,Tertiary,74.3
Male,9.5,No,Urban,83.8,Secondary,76.5
Male,8.1,No,Rural,89,Tertiary,69.6
Male,15.8,No,Rural,78.1,Primary,85
Male,10.1,Yes,Urban,65.7,Secondary,85.3
Male,11.7,No,Urban,67.8,Primary,67.8
Female,13.6,Yes,Urban,84.3,Primary,95.1
Male,4.9,Yes,Rural,66.4,Primary,57.3
Female,6.8,No,Rural,83.4,Secondary,51
Male,10.9,No,Urban,66.8,Secondary,61.5
Male,14.4,No,Urban,89.3,Primary,80.9
Male,14.3,Yes,Urban,51.5,Secondary,94
Female,5.6,No,Urban,61.2,Tertiary,55.6
Female,9.2,No,Rural,55.7,Primary,55.2
Female,14.1,Yes,Rural,92,Primary,100
Male,10.1,Yes,Urban,68.3,None,74.4
Male,10.8,No,Urban,79,Tertiary,68.6
Female,9.9,No,Urban,83.6,Secondary,71.1
Female,13.9,No,Rural,50,Secondary,75.4
Female,6.1,No,Urban,76.7,None,50
Female,8.2,No,Urban,83.9,Tertiary,65.4
Male,12.9,No,Urban,85.8,Tertiary,82.2
Male,1.2,No,Rural,89.7,Tertiary,39.2
Male,9.8,No,Rural,59.8,Tertiary,68.3
Female,10.2,Yes,Rural,67.8,Tertiary,92.3
Female,15,Yes,Urban,63.3,Primary,99.6
Male,12.3,Yes,Rural,88.9,Tertiary,100
Female,15.7,Yes,Urban,86.6,Tertiary,100
Male,13.9,No,Rural,55.7,Secondary,74.4
Male,11.2,No,Rural,87,Primary,70
Female,10.9,No,Urban,96.4,None,70.1
Male,10.8,Yes,Urban,94.3,Secondary,98.1
Female,7.3,Yes,Rural,51.7,Secondary,61.4
Female,8.5,Yes,Rural,96.2,Tertiary,76.6
Female,8.1,No,Urban,94.9,Primary,66.9
Female,9.5,No,Rural,98.2,None,70.3
Male,7.9,No,Rural,77.9,Secondary,56.1
Male,8.9,No,Urban,59.3,Tertiary,63
Male,12.3,No,Rural,56,Secondary,60
Female,6,No,Rural,74.5,Secondary,55.1
Female,3.6,No,Urban,77.2,Tertiary,48.9
Female,12.1,No,Urban,55.6,Tertiary,77.2
Male,9.7,Yes,Urban,50.7,Primary,76.4
Female,7.6,No,Urban,58.5,Secondary,52.7
Female,8.4,No,Urban,71.5,None,59.9
Female,8,Yes,Urban,70.1,Primary,80.4
Female,13.5,No,Rural,57,Tertiary,73.8
Male,6.3,No,Urban,64.2,Primary,50.8
Male,0,No,Urban,81.3,Secondary,27.7
Female,5.6,No,Rural,65.8,Secondary,42.2
Female,8.9,No,Urban,53.1,Primary,54.1
Male,10.3,No,Urban,73.6,Tertiary,76.9
Male,16,No,Rural,69.2,None,80.8
Male,12.2,Yes,Urban,88.9,Tertiary,100
Female,7.2,No,Urban,50.2,Primary,52
Female,7.5,No,Urban,69.9,Tertiary,67.9
Male,12.7,No,Urban,98.1,Secondary,94.1
Female,3.1,Yes,Rural,63.3,Tertiary,49.1
Female,10.4,Yes,Rural,86.7,Secondary,86.9
Female,5.5,No,Rural,99.9,Tertiary,57.3
Female,6.6,No,Rural,98.8,Tertiary,58.1
Female,9.2,No,Urban,81.2,Secondary,67.5
Male,5.1,Yes,Rural,87.1,Secondary,61.6
Male,7.4,Yes,Urban,99,Secondary,86.3
Male,10.4,No,Urban,97.9,None,76.7
Female,13.2,No,Rural,76.6,None,73.8
Male,11.1,No,Rural,61.9,Tertiary,65.9
Female,5.5,No,Rural,82.4,Secondary,49.6
Male,6.9,No,Urban,93.8,Primary,60.7
Female,8.9,No,Rural,92.6,Tertiary,65.2
Female,6.7,No,Urban,87.2,Secondary,52.3
Male,7,No,Urban,52.2,Secondary,46.4
Male,11.4,No,Rural,71.9,Secondary,68.6
Male,12.7,Yes,Rural,58.4,Secondary,79
Female,14.3,No,Urban,70.9,Secondary,87.3
Male,5.4,No,Urban,68.2,Tertiary,46.1
Male,8.4,No,Urban,91.3,Secondary,58.7
Female,9.1,Yes,Urban,76.7,None,79.1
Female,0,No,Urban,95.2,Primary,32.8
Female,8.3,No,Rural,58.6,Secondary,57.2
Female,7.1,Yes,Urban,94.2,Primary,90.3
Male,12.8,No,Urban,68.9,Tertiary,72.7
Female,16,No,Urban,94.3,Tertiary,100
Male,6.4,No,Rural,74.1,Secondary,53.9
Male,14.4,No,Urban,92,Secondary,92.1
Male,16,No,Urban,69.4,None,85.8
Male,12.9,No,Urban,59.9,Primary,68.5
Female,11.2,No,Rural,87.8,Primary,74.2
Female,7.9,No,Urban,89.7,Secondary,63.1
Female,5,No,Rural,62.2,Tertiary,43.5
Male,10.8,No,Rural,72.8,Secondary,63.5
Female,7.9,No,Urban,67.1,Tertiary,56.7
Male,9.6,No,Rural,79,Secondary,65.8
Male,11.2,Yes,Rural,89.4,Secondary,90.2
Female,9.3,No,Rural,65.8,Primary,59
Female,8.2,No,Urban,68.9,None,62.1
Female,3.5,No,Rural,89.5,Primary,45.8
Female,6.5,No,Rural,50.8,Primary,48.5
Female,16,No,Rural,82,Tertiary,89.7
Female,12.4,No,Urban,85.5,Secondary,79.2
Male,9.4,No,Urban,57.7,Tertiary,61.8
Male,4,No,Rural,71,Secondary,42
Female,9.6,Yes,Rural,89.2,Primary,77.2
Female,12,No,Urban,66.3,Tertiary,79.7
Female,15.2,Yes,Rural,52.4,Secondary,99.6
Female,7.9,No,Urban,55.9,Secondary,58.5
Female,12.1,No,Urban,63.6,Tertiary,75.8
Female,9.7,No,Urban,92.5,Secondary,82.4
Female,1.5,Yes,Rural,51.1,Secondary,37.9
Female,3.3,No,Urban,59.7,Primary,37.2
Female,10.8,Yes,Rural,70.1,Primary,89.4
Female,10.3,No,Urban,64.5,Secondary,70.8
Male,16,No,Rural,73.4,Tertiary,93.1
Male,9.4,No,Rural,100,Secondary,65.6
Male,13.6,No,Urban,76.4,Secondary,90.7
Male,10.2,Yes,Rural,61.5,Tertiary,79.8
Female,9.4,No,Rural,96.2,Tertiary,67.9
Female,4.9,No,Urban,65.7,Secondary,40.7
Female,14.9,Yes,Urban,86.5,Tertiary,100
Male,1.1,No,Rural,83.5,Primary,40.3
Female,13.2,Yes,Urban,79.7,Tertiary,100
Female,4,No,Rural,84.2,Secondary,43.7
Female,8.8,Yes,Urban,50.4,Secondary,74.7
Female,7.9,No,Rural,76.2,Tertiary,56.6
Female,10,No,Urban,60.2,Secondary,57.4
Female,13.8,No,Rural,65.2,None,79.2
Female,14.1,Yes,Urban,56.5,Primary,87.7
Male,2.9,No,Urban,60.1,Tertiary,32.4
Male,11.3,No,Urban,66,None,72.3
Male,7.9,Yes,Urban,59.1,Primary,69.6
Male,7.2,Yes,Urban,80.3,Primary,63.4
Female,3.8,No,Urban,55.8,Tertiary,41.8
Female,6.1,No,Urban,76.7,None,59.4
Male,6.8,No,Urban,74.4,Secondary,54
Female,8.8,No,Rural,81.8,Secondary,59
Male,10.4,Yes,Urban,66.2,None,72.5
Male,12,Yes,Rural,90.5,Secondary,91.7
Female,8.1,No,Urban,51.9,Secondary,50.9
Male,8.3,Yes,Urban,95.6,Tertiary,74.9
Female,9.5,Yes,Urban,94.7,Tertiary,95.2
Male,10,Yes,Rural,71.1,Tertiary,78.4
Female,7.2,No,Rural,71.9,Primary,49
Male,5.4,Yes,Rural,60.6,Primary,58.8
Male,15,No,Rural,84.4,Secondary,94.1
Male,6.4,No,Urban,92,Primary,62.1
Male,11.8,No,Urban,59.6,Secondary,64.6
Female,6.4,No,Urban,98.6,Primary,65.4
Female,7,No,Urban,51.4,None,51.9
Female,14.5,Yes,Urban,65.2,Secondary,100
Male,9,Yes,Rural,84.1,Secondary,72.8
Female,10.2,No,Rural,97.4,None,69.4
Male,14,Yes,Rural,66.6,Secondary,91.8
Female,16,No,Rural,96.3,Secondary,92.1
Male,14.6,No,Urban,92,Primary,90.2
Male,11.6,No,Rural,95.8,Primary,71.8
Male,12.9,No,Urban,60.3,Primary,67.3
Male,10,Yes,Urban,87.6,Tertiary,89.4
Female,2.9,No,Rural,53.5,None,30.4
Female,11.1,Yes,Urban,70.3,Primary,89.9
Female,11.2,No,Urban,79.9,Secondary,75.9
Male,8.3,Yes,Urban,54.5,Secondary,69.9
Female,7.9,No,Urban,97.1,Secondary,70.4
Male,16,No,Urban,51.2,Primary,87.5
Male,6.4,Yes,Urban,52.6,Primary,55.5
Female,9.8,No,Rural,56.9,Secondary,62.3
Female,12.5,No,Urban,87.2,Tertiary,83.7
Female,5.1,No,Urban,70,Tertiary,49
Male,8.6,No,Urban,77.7,Tertiary,70.8
Female,12,No,Urban,79.5,Secondary,80.2
Female,6.6,Yes,Urban,85,Primary,73.8
Male,5.6,No,Rural,91.1,Secondary,54
Female,14.5,Yes,Rural,61.1,Tertiary,93.7
Male,12.2,Yes,Rural,79.8,Primary,82.6
Female,2,Yes,Urban,73.8,None,51.4
Female,7.9,No,Rural,65.7,Primary,49.3
Male,16,No,Urban,80.9,Secondary,83.5
Male,4.1,No,Urban,74.3,Secondary,46.1
Female,14.7,Yes,Rural,79.4,None,92.2
Female,10.7,No,Urban,73.1,Secondary,75.6
Male,9.4,No,Rural,75.4,Primary,63.6
Female,3.1,No,Rural,56,Secondary,31.7
Female,10.8,No,Urban,92.3,Secondary,78.4
Female,8.9,Yes,Urban,53,Secondary,76.1
Female,12.7,No,Rural,79.9,Secondary,71.1
Female,10.7,Yes,Urban,69.9,None,86.7
Female,8.7,Yes,Urban,59.9,Primary,82.2
Male,14.9,No,Urban,72.1,Secondary,83.9
Male,9,No,Urban,71.5,Secondary,56.2
Female,12,No,Urban,78.2,Tertiary,73.8
Male,15.1,No,Urban,61.2,Tertiary,89.8
Female,9.1,No,Rural,85.4,Secondary,63.2
Male,3.7,Yes,Urban,92.1,Secondary,66.4
Male,14.3,No,Urban,84.9,None,88.6
Female,8.2,No,Urban,92.8,Secondary,71.4
Female,12.5,No,Urban,74.9,Secondary,79.5
Female,8.2,Yes,Urban,50.1,Secondary,77.8
Female,7.2,No,Rural,79.6,Tertiary,60.3
Female,8.4,Yes,Rural,99.3,Tertiary,84.1
Male,7,Yes,Urban,66,Primary,71.7
Female,5.9,No,Urban,99.8,Primary,60.2
Female,10.9,No,Rural,57.9,Secondary,76.3
Female,7.9,No,Rural,52.6,Secondary,50.4
Male,16,Yes,Urban,66.6,Secondary,100
Male,6.1,No,Urban,68.8,None,53.9
Female,16,Yes,Urban,70.9,Secondary,100
Female,4.9,Yes,Urban,76.7,Tertiary,61
Male,10.6,Yes,Rural,68.1,Secondary,90.2
Female,12.3,Yes,Rural,91.5,Tertiary,100
Female,13.3,No,Rural,62.4,Secondary,78.8
Female,7.1,Yes,Urban,79.6,Secondary,76.5
Male,7.1,No,Rural,83.3,Tertiary,57.5
Male,7.8,No,Rural,68.7,Secondary,52.4
Male,8.3,No,Rural,60.3,Tertiary,57.4
Female,4.6,Yes,Rural,90,Primary,55
Male,10.9,No,Urban,67.7,Primary,66.9
Male,5.3,Yes,Urban,62.9,Primary,56.9
Male,9.2,No,Rural,88.1,Secondary,68.6
Male,7.3,Yes,Rural,71.4,Secondary,76
Male,10.5,No,Rural,88.4,Tertiary,77
Male,8,No,Urban,87,Secondary,67.8
Female,14.2,Yes,Urban,50.9,Secondary,95.3
Female,10,No,Urban,86.3,Secondary,72.2
Female,6.2,No,Urban,60.3,Secondary,48.9
Male,10.2,No,Rural,82.4,Secondary,63.4
Male,13.8,No,Rural,66,Secondary,77.8
Female,15.7,Yes,Urban,76.4,Secondary,100
Female,12.8,No,Urban,77.3,Secondary,85.1
Female,9.8,Yes,Rural,92.2,None,87
Male,10,No,Urban,72,Primary,69.7
Female,9.7,Yes,Urban,50.5,Secondary,73.1
Male,11.4,No,Urban,87.1,None,66
Female,14.6,No,Urban,79.4,Secondary,93.9
Male,5,No,Urban,89.1,Tertiary,50.8
Female,12.4,Yes,Urban,69,Secondary,95
Female,2.5,No,Urban,92.7,Tertiary,43.5
Female,8.8,No,Urban,98.5,Primary,75.1
Male,7.8,No,Rural,57.2,Secondary,53.2
Female,4.7,No,Urban,97.1,Tertiary,52.3
Male,10.1,Yes,Urban,72.7,Secondary,85.1
Male,10.3,No,Urban,88.1,Secondary,78.3
Female,14.7,No,Urban,50.6,Tertiary,72.6
Male,10.1,No,Rural,87.9,Secondary,70.1
Female,12.2,No,Urban,65.6,None,74
Male,7.3,No,Rural,85.6,Tertiary,66.6
Male,8.5,No,Urban,57.8,Secondary,63.7
Female,9.9,No,Urban,90.2,Primary,76.9
Male,8.8,Yes,Urban,61,Tertiary,77.8
Male,5.4,Yes,Rural,73.6,Secondary,64.5
Male,11.2,No,Rural,51.8,Primary,63
Male,5.5,No,Rural,84,Primary,52.8
Male,3.9,No,Urban,54.8,Secondary,41.1
Male,14.4,Yes,Urban,85,Tertiary,100
Male,3.1,No,Rural,70.7,Secondary,42
Male,10.7,No,Urban,72.9,Tertiary,68.5
Male,16,No,Urban,59.7,Secondary,90.8
Female,13.3,Yes,Urban,83.6,Secondary,96.6
Male,7.5,No,Rural,53.8,None,46.2
Female,7.6,No,Urban,97.9,Secondary,57.7
Female,11,No,Rural,79.1,None,62.7
Male,10.4,Yes,Rural,58.1,Tertiary,81.8
Female,11.4,No,Urban,81.7,Secondary,79.5
Female,12.8,No,Rural,74.3,Secondary,71
Female,10.1,No,Rural,87,Tertiary,76.3
Male,9.7,Yes,Rural,80.7,Secondary,87.7
Male,7.5,No,Urban,52.8,Primary,50.2
Female,9.3,Yes,Rural,94.2,Tertiary,73.3
Female,6.7,Yes,Rural,98,Primary,75.2
Female,10.8,No,Rural,85.7,Primary,70.7
Female,9.1,No,Rural,50.2,Secondary,52.8
Male,14.2,Yes,Urban,69.3,Secondary,95.6
Female,7,No,Urban,85.6,Tertiary,70.8
Male,3.9,No,Urban,96.9,Secondary,45.9
Female,11.4,No,Urban,84.7,Tertiary,87.3
Male,11.4,No,Rural,68,Tertiary,73.3
Male,15.3,No,Urban,64.3,Secondary,96.5
Male,13,No,Urban,52.4,None,66.6
Male,5.2,No,Rural,82.4,Primary,49.2
Female,11.5,No,Urban,68.7,Tertiary,75.6
Female,10.4,No,Rural,82.2,Tertiary,71.3
Female,13.7,No,Urban,97.6,Secondary,95.7
Female,15,Yes,Urban,67.2,Tertiary,100
Female,14.2,No,Urban,67.3,Tertiary,84.6
Male,7.1,No,Urban,57.2,Tertiary,48.6
Female,11.6,No,Rural,53.1,Tertiary,72.2
Male,5.2,No,Urban,66.9,Primary,55.5
Female,3.4,No,Rural,92.5,Tertiary,46.2
Male,12.5,No,Urban,95.9,None,82.4
Female,8.7,Yes,Rural,69.2,Tertiary,75.5
Male,16,No,Urban,90.8,Secondary,95.2
Female,6,No,Urban,99,Tertiary,64.1
Female,16,Yes,Rural,90.6,Secondary,100
Male,12.9,No,Urban,99.4,Secondary,92.3
Male,16,No,Rural,51.4,None,79.6
Male,14.3,No,Urban,54.4,None,82.5
Female,12.5,Yes,Urban,83.9,Tertiary,100
Female,2.8,Yes,Urban,72.7,Primary,57
Female,10.8,No,Rural,73.4,Tertiary,72.8
Male,7.5,Yes,Urban,75.1,Tertiary,75.1
Male,1.7,No,Urban,99.3,Secondary,39.7
Female,8.7,No,Urban,75,Primary,61.7
Male,7.2,No,Urban,97.5,None,63.4
Male,9.7,Yes,Urban,53,Secondary,75.9
Female,7,No,Urban,94.5,Tertiary,59.6
Male,11.6,No,Urban,68.2,Primary,71.9
Male,3.9,No,Rural,88.6,Secondary,44
Male,8.8,No,Urban,67.3,Secondary,64.6
Female,11.4,No,Urban,79.9,Secondary,73.8
Male,6.1,Yes,Urban,54.9,None,61.6
Female,8.8,Yes,Urban,55.9,Secondary,69.3
Male,0,No,Urban,57.2,Tertiary,28
Female,5,Yes,Urban,83.2,Secondary,70.2
Male,11.2,No,Rural,80.7,Secondary,74.2
Female,9.9,No,Rural,55.9,Tertiary,55.2
Female,10,No,Urban,79.4,Tertiary,61.1
Male,9.8,No,Rural,68.7,Primary,57.3
Male,5.6,No,Rural,80.2,Secondary,46.3
Female,12.2,Yes,Rural,86.8,Tertiary,95.5
Male,7.3,No,Urban,92,Tertiary,59.8
Female,11.6,Yes,Urban,65.2,Tertiary,86.7
Male,16,Yes,Urban,74.2,Primary,100
Female,7.7,No,Rural,70.2,Secondary,58.6
Male,13.4,No,Urban,99.3,Tertiary,88.7
Male,8.7,No,Rural,78.3,Tertiary,66.7
Male,6.9,No,Rural,54.5,None,53.5
Male,12.2,No,Urban,88.6,Tertiary,79.9
Female,9.1,No,Urban,84.6,Secondary,75.4
Female,12,No,Urban,62.9,Secondary,74.9
Male,16,No,Rural,60.7,Secondary,80.7
Female,9.7,Yes,Urban,87.5,None,74.7
Male,9.2,No,Urban,95.6,Secondary,72
Female,11.9,No,Urban,83.4,Secondary,76.1
Female,10.8,Yes,Rural,90.4,Secondary,98.2
Male,11,No,Urban,83.5,Tertiary,74.7
